block_id,corridor_id,date,from_station,to_station,start,end,block_type
B-174,C1,2026-09-07,KYN,ASO,00:11,01:29,traffic
B-175,C1,2026-09-07,KYN,ASO,02:35,05:22,traffic
B-176,C1,2026-09-07,KYN,ASO,09:49,10:55,traffic
B-177,C1,2026-09-07,ASO,KSRA,00:07,02:24,power
B-178,C1,2026-09-07,ASO,KSRA,03:42,06:04,power
B-179,C1,2026-09-07,ASO,KSRA,07:53,09:37,power
B-180,C1,2026-09-07,ASO,KSRA,16:48,18:03,power
B-181,C1,2026-09-07,KYN,ASO,09:35,11:05,traffic
B-182,C2,2026-09-08,TNA,KYN,00:06,04:06,traffic
B-183,C2,2026-09-08,KYN,KJT,00:08,04:08,power
B-184,C2,2026-09-08,KJT,LNL,00:12,04:12,traffic
B-185,C2,2026-09-08,CSMT,TNA,09:35,11:05,traffic
B-186,C1,2026-09-08,KYN,ASO,00:10,01:29,power
B-187,C1,2026-09-08,KYN,ASO,02:36,05:22,power
B-188,C1,2026-09-08,KYN,ASO,09:53,10:55,power
B-189,C1,2026-09-08,KYN,ASO,18:21,19:25,power
B-190,C1,2026-09-08,ASO,KSRA,00:11,02:24,traffic
B-191,C1,2026-09-08,ASO,KSRA,03:45,06:04,traffic
B-192,C1,2026-09-08,ASO,KSRA,07:54,09:37,traffic
B-193,C1,2026-09-08,ASO,KSRA,16:45,18:03,traffic
B-194,C1,2026-09-08,KYN,ASO,09:35,11:05,traffic
B-195,C2,2026-09-09,TNA,KYN,00:11,04:11,power
B-196,C2,2026-09-09,KYN,KJT,00:06,04:06,traffic
B-197,C2,2026-09-09,KJT,LNL,00:05,04:05,power
B-198,C2,2026-09-09,CSMT,TNA,09:35,11:05,traffic
B-199,C1,2026-09-09,KYN,ASO,00:08,01:29,traffic
B-200,C1,2026-09-09,KYN,ASO,09:53,10:55,traffic
B-201,C1,2026-09-09,KYN,ASO,16:04,17:21,traffic
B-202,C1,2026-09-09,KYN,ASO,18:19,19:25,traffic
B-203,C1,2026-09-09,ASO,KSRA,00:06,02:24,power
B-204,C1,2026-09-09,ASO,KSRA,03:39,06:04,power
B-205,C1,2026-09-09,ASO,KSRA,07:50,09:37,power
B-206,C1,2026-09-09,ASO,KSRA,16:50,18:03,power
B-207,C1,2026-09-09,KYN,ASO,09:35,11:05,traffic
B-208,C2,2026-09-10,CSMT,TNA,00:08,04:08,power
B-209,C2,2026-09-10,TNA,KYN,00:05,04:05,traffic
B-210,C2,2026-09-10,KYN,KJT,00:08,04:08,power
B-211,C2,2026-09-10,KJT,LNL,00:12,04:12,traffic
B-212,C2,2026-09-10,CSMT,TNA,09:35,11:05,traffic
B-213,C1,2026-09-10,KYN,ASO,02:35,05:22,power
B-214,C1,2026-09-10,KYN,ASO,09:54,10:55,power
B-215,C1,2026-09-10,KYN,ASO,15:58,17:21,power
B-216,C1,2026-09-10,ASO,KSRA,03:40,06:04,traffic
B-217,C1,2026-09-10,ASO,KSRA,07:47,09:37,traffic
B-218,C1,2026-09-10,ASO,KSRA,16:46,18:03,traffic
B-219,C1,2026-09-10,KYN,ASO,09:35,11:05,traffic
B-220,C2,2026-09-11,CSMT,TNA,00:07,04:07,traffic
B-221,C2,2026-09-11,KYN,KJT,00:06,04:06,traffic
B-222,C2,2026-09-11,CSMT,TNA,09:35,11:05,traffic
B-223,C1,2026-09-11,KYN,ASO,00:07,01:29,traffic
B-224,C1,2026-09-11,KYN,ASO,02:34,05:22,traffic
B-225,C1,2026-09-11,KYN,ASO,09:48,10:55,traffic
B-226,C1,2026-09-11,KYN,ASO,15:59,17:21,traffic
B-227,C1,2026-09-11,KYN,ASO,18:18,19:25,traffic
B-228,C1,2026-09-11,ASO,KSRA,00:11,02:24,power
B-229,C1,2026-09-11,ASO,KSRA,03:44,06:04,power
B-230,C1,2026-09-11,KYN,ASO,09:35,11:05,traffic
B-231,C2,2026-09-12,TNA,KYN,00:05,04:05,traffic
B-232,C2,2026-09-12,KYN,KJT,00:06,04:06,power
B-233,C2,2026-09-12,KJT,LNL,00:12,04:12,traffic
B-234,C2,2026-09-12,CSMT,TNA,09:35,11:05,traffic
B-235,C1,2026-09-12,KYN,ASO,00:07,01:29,power
B-236,C1,2026-09-12,KYN,ASO,02:36,05:22,power
B-237,C1,2026-09-12,KYN,ASO,16:04,17:21,power
B-238,C1,2026-09-12,KYN,ASO,18:14,19:25,power
B-239,C1,2026-09-12,ASO,KSRA,00:06,02:24,traffic
B-240,C1,2026-09-12,ASO,KSRA,03:41,06:04,traffic
B-241,C1,2026-09-12,ASO,KSRA,07:51,09:37,traffic
B-242,C1,2026-09-12,ASO,KSRA,16:50,18:03,traffic
B-243,C1,2026-09-12,KYN,ASO,09:35,11:05,traffic
B-244,C2,2026-09-13,CSMT,TNA,00:12,04:12,traffic
B-245,C2,2026-09-13,TNA,KYN,00:06,04:06,power
B-246,C2,2026-09-13,KYN,KJT,00:07,04:07,traffic
B-247,C2,2026-09-13,KJT,LNL,00:08,04:08,power
B-248,C2,2026-09-13,CSMT,TNA,09:35,11:05,traffic
B-249,C1,2026-09-13,KYN,ASO,00:06,01:29,traffic
B-250,C1,2026-09-13,KYN,ASO,02:39,05:22,traffic
B-251,C1,2026-09-13,KYN,ASO,09:54,10:55,traffic
B-252,C1,2026-09-13,KYN,ASO,16:01,17:21,traffic
B-253,C1,2026-09-13,ASO,KSRA,03:44,06:04,power
B-254,C1,2026-09-13,ASO,KSRA,07:50,09:37,power
B-255,C1,2026-09-13,ASO,KSRA,16:52,18:03,power
B-256,C1,2026-09-13,KYN,ASO,09:35,11:05,traffic
B-257,C2,2026-09-14,CSMT,TNA,00:07,04:07,power
B-258,C2,2026-09-14,TNA,KYN,00:07,04:07,traffic
B-259,C2,2026-09-14,KYN,KJT,00:12,04:12,power
B-260,C2,2026-09-14,KJT,LNL,00:09,04:09,traffic
B-261,C2,2026-09-14,CSMT,TNA,09:35,11:05,traffic
B-262,C1,2026-09-14,KYN,ASO,02:37,05:22,power
B-263,C1,2026-09-14,KYN,ASO,09:50,10:55,power
B-264,C1,2026-09-14,KYN,ASO,16:02,17:21,power
B-265,C1,2026-09-14,ASO,KSRA,03:40,06:04,traffic
B-266,C1,2026-09-14,ASO,KSRA,07:52,09:37,traffic
B-267,C1,2026-09-14,ASO,KSRA,16:52,18:03,traffic
B-268,C1,2026-09-14,KYN,ASO,09:35,11:05,traffic
B-269,C2,2026-09-15,KYN,KJT,00:10,04:10,traffic
B-270,C2,2026-09-15,KJT,LNL,00:07,04:07,power
B-271,C2,2026-09-15,CSMT,TNA,09:35,11:05,traffic
B-272,C1,2026-09-15,KYN,ASO,00:08,01:29,traffic
B-273,C1,2026-09-15,KYN,ASO,02:35,05:22,traffic
B-274,C1,2026-09-15,KYN,ASO,09:51,10:55,traffic
B-275,C1,2026-09-15,KYN,ASO,18:20,19:25,traffic
B-276,C1,2026-09-15,ASO,KSRA,00:05,02:24,power
B-277,C1,2026-09-15,ASO,KSRA,03:44,06:04,power
B-278,C1,2026-09-15,ASO,KSRA,16:45,18:03,power
B-279,C1,2026-09-15,KYN,ASO,09:35,11:05,traffic
B-280,C2,2026-09-16,CSMT,TNA,00:06,04:06,power
B-281,C2,2026-09-16,TNA,KYN,00:07,04:07,traffic
B-282,C2,2026-09-16,KYN,KJT,00:12,04:12,power
B-283,C2,2026-09-16,CSMT,TNA,09:35,11:05,traffic
B-284,C1,2026-09-16,KYN,ASO,00:09,01:29,power
B-285,C1,2026-09-16,KYN,ASO,02:34,05:22,power
B-286,C1,2026-09-16,KYN,ASO,15:58,17:21,power
B-287,C1,2026-09-16,ASO,KSRA,00:10,02:24,traffic
B-288,C1,2026-09-16,ASO,KSRA,03:43,06:04,traffic
B-289,C1,2026-09-16,ASO,KSRA,07:49,09:37,traffic
B-290,C1,2026-09-16,ASO,KSRA,16:49,18:03,traffic
B-291,C1,2026-09-16,KYN,ASO,09:35,11:05,traffic
B-292,C2,2026-09-17,CSMT,TNA,00:06,04:06,traffic
B-293,C2,2026-09-17,TNA,KYN,00:08,04:08,power
B-294,C2,2026-09-17,KYN,KJT,00:06,04:06,traffic
B-295,C2,2026-09-17,CSMT,TNA,09:35,11:05,traffic
B-296,C1,2026-09-17,KYN,ASO,00:09,01:29,traffic
B-297,C1,2026-09-17,KYN,ASO,02:40,05:22,traffic
B-298,C1,2026-09-17,KYN,ASO,09:52,10:55,traffic
B-299,C1,2026-09-17,KYN,ASO,16:02,17:21,traffic
B-300,C1,2026-09-17,KYN,ASO,18:14,19:25,traffic
B-301,C1,2026-09-17,ASO,KSRA,03:45,06:04,power
B-302,C1,2026-09-17,ASO,KSRA,07:53,09:37,power
B-303,C1,2026-09-17,KYN,ASO,09:35,11:05,traffic
B-304,C2,2026-09-18,CSMT,TNA,00:12,04:12,power
B-305,C2,2026-09-18,KYN,KJT,00:07,04:07,power
B-306,C2,2026-09-18,KJT,LNL,00:07,04:07,traffic
B-307,C2,2026-09-18,CSMT,TNA,09:35,11:05,traffic
B-308,C1,2026-09-18,KYN,ASO,00:09,01:29,power
B-309,C1,2026-09-18,KYN,ASO,02:34,05:22,power
B-310,C1,2026-09-18,KYN,ASO,09:50,10:55,power
B-311,C1,2026-09-18,KYN,ASO,15:59,17:21,power
B-312,C1,2026-09-18,KYN,ASO,18:15,19:25,power
B-313,C1,2026-09-18,ASO,KSRA,00:07,02:24,traffic
B-314,C1,2026-09-18,ASO,KSRA,03:44,06:04,traffic
B-315,C1,2026-09-18,ASO,KSRA,16:49,18:03,traffic
B-316,C1,2026-09-18,KYN,ASO,09:35,11:05,traffic
B-317,C2,2026-09-19,TNA,KYN,00:05,04:05,power
B-318,C2,2026-09-19,KYN,KJT,00:10,04:10,traffic
B-319,C2,2026-09-19,KJT,LNL,00:08,04:08,power
B-320,C2,2026-09-19,CSMT,TNA,09:35,11:05,traffic
B-321,C1,2026-09-19,KYN,ASO,00:09,01:29,traffic
B-322,C1,2026-09-19,KYN,ASO,02:38,05:22,traffic
B-323,C1,2026-09-19,KYN,ASO,09:53,10:55,traffic
B-324,C1,2026-09-19,KYN,ASO,16:00,17:21,traffic
B-325,C1,2026-09-19,KYN,ASO,18:17,19:25,traffic
B-326,C1,2026-09-19,ASO,KSRA,00:10,02:24,power
B-327,C1,2026-09-19,ASO,KSRA,07:53,09:37,power
B-328,C1,2026-09-19,ASO,KSRA,16:52,18:03,power
B-329,C1,2026-09-19,KYN,ASO,09:35,11:05,traffic
B-330,C2,2026-09-20,CSMT,TNA,00:11,04:11,power
B-331,C2,2026-09-20,TNA,KYN,00:10,04:10,traffic
B-332,C2,2026-09-20,CSMT,TNA,09:35,11:05,traffic
B-333,C1,2026-09-20,KYN,ASO,00:12,01:29,power
B-334,C1,2026-09-20,KYN,ASO,02:38,05:22,power
B-335,C1,2026-09-20,KYN,ASO,09:52,10:55,power
B-336,C1,2026-09-20,KYN,ASO,16:01,17:21,power
B-337,C1,2026-09-20,KYN,ASO,18:20,19:25,power
B-338,C1,2026-09-20,ASO,KSRA,00:05,02:24,traffic
B-339,C1,2026-09-20,ASO,KSRA,07:48,09:37,traffic
B-340,C1,2026-09-20,ASO,KSRA,16:50,18:03,traffic
B-341,C1,2026-09-20,KYN,ASO,09:35,11:05,traffic
B-342,C2,2026-09-21,CSMT,TNA,00:09,04:09,traffic
B-343,C2,2026-09-21,TNA,KYN,00:10,04:10,power
B-344,C2,2026-09-21,KYN,KJT,00:05,04:05,traffic
B-345,C2,2026-09-21,KJT,LNL,00:11,04:11,power
B-346,C2,2026-09-21,CSMT,TNA,09:35,11:05,traffic
B-347,C1,2026-09-21,KYN,ASO,02:41,05:22,traffic
B-348,C1,2026-09-21,KYN,ASO,09:53,10:55,traffic
B-349,C1,2026-09-21,ASO,KSRA,00:12,02:24,power
B-350,C1,2026-09-21,ASO,KSRA,07:47,09:37,power
B-351,C1,2026-09-21,ASO,KSRA,16:51,18:03,power
B-352,C1,2026-09-21,KYN,ASO,09:35,11:05,traffic
B-353,C2,2026-09-22,CSMT,TNA,00:06,04:06,power
B-354,C2,2026-09-22,TNA,KYN,00:11,04:11,traffic
B-355,C2,2026-09-22,KYN,KJT,00:05,04:05,power
B-356,C2,2026-09-22,KJT,LNL,00:08,04:08,traffic
B-357,C2,2026-09-22,CSMT,TNA,09:35,11:05,traffic
B-358,C1,2026-09-22,KYN,ASO,00:06,01:29,power
B-359,C1,2026-09-22,KYN,ASO,02:40,05:22,power
B-360,C1,2026-09-22,KYN,ASO,18:21,19:25,power
B-361,C1,2026-09-22,ASO,KSRA,16:45,18:03,traffic
B-362,C1,2026-09-22,KYN,ASO,09:35,11:05,traffic
B-363,C2,2026-09-23,CSMT,TNA,00:08,04:08,traffic
B-364,C2,2026-09-23,KYN,KJT,00:09,04:09,traffic
B-365,C2,2026-09-23,KJT,LNL,00:05,04:05,power
B-366,C2,2026-09-23,CSMT,TNA,09:35,11:05,traffic
B-367,C1,2026-09-23,KYN,ASO,00:05,01:29,traffic
B-368,C1,2026-09-23,KYN,ASO,02:37,05:22,traffic
B-369,C1,2026-09-23,KYN,ASO,09:54,10:55,traffic
B-370,C1,2026-09-23,KYN,ASO,18:15,19:25,traffic
B-371,C1,2026-09-23,ASO,KSRA,00:07,02:24,power
B-372,C1,2026-09-23,ASO,KSRA,03:39,06:04,power
B-373,C1,2026-09-23,ASO,KSRA,07:47,09:37,power
B-374,C1,2026-09-23,ASO,KSRA,16:46,18:03,power
B-375,C1,2026-09-23,KYN,ASO,09:35,11:05,traffic
B-376,C2,2026-09-24,CSMT,TNA,00:08,04:08,power
B-377,C2,2026-09-24,TNA,KYN,00:05,04:05,traffic
B-378,C2,2026-09-24,KYN,KJT,00:06,04:06,power
B-379,C2,2026-09-24,KJT,LNL,00:09,04:09,traffic
B-380,C2,2026-09-24,CSMT,TNA,09:35,11:05,traffic
B-381,C1,2026-09-24,KYN,ASO,00:07,01:29,power
B-382,C1,2026-09-24,KYN,ASO,02:37,05:22,power
B-383,C1,2026-09-24,KYN,ASO,09:53,10:55,power
B-384,C1,2026-09-24,KYN,ASO,16:04,17:21,power
B-385,C1,2026-09-24,KYN,ASO,18:18,19:25,power
B-386,C1,2026-09-24,ASO,KSRA,00:09,02:24,traffic
B-387,C1,2026-09-24,ASO,KSRA,03:40,06:04,traffic
B-388,C1,2026-09-24,ASO,KSRA,07:53,09:37,traffic
B-389,C1,2026-09-24,KYN,ASO,09:35,11:05,traffic
B-390,C2,2026-09-25,CSMT,TNA,00:09,04:09,traffic
B-391,C2,2026-09-25,TNA,KYN,00:06,04:06,power
B-392,C2,2026-09-25,KYN,KJT,00:12,04:12,traffic
B-393,C2,2026-09-25,KJT,LNL,00:07,04:07,power
B-394,C2,2026-09-25,CSMT,TNA,09:35,11:05,traffic
B-395,C1,2026-09-25,KYN,ASO,00:10,01:29,traffic
B-396,C1,2026-09-25,KYN,ASO,02:37,05:22,traffic
B-397,C1,2026-09-25,KYN,ASO,09:48,10:55,traffic
B-398,C1,2026-09-25,KYN,ASO,15:59,17:21,traffic
B-399,C1,2026-09-25,KYN,ASO,18:21,19:25,traffic
B-400,C1,2026-09-25,ASO,KSRA,00:07,02:24,power
B-401,C1,2026-09-25,ASO,KSRA,03:43,06:04,power
B-402,C1,2026-09-25,ASO,KSRA,07:53,09:37,power
B-403,C1,2026-09-25,ASO,KSRA,16:51,18:03,power
B-404,C1,2026-09-25,KYN,ASO,09:35,11:05,traffic
B-405,C2,2026-09-26,CSMT,TNA,00:06,04:06,power
B-406,C2,2026-09-26,KJT,LNL,00:09,04:09,traffic
B-407,C2,2026-09-26,CSMT,TNA,09:35,11:05,traffic
B-408,C1,2026-09-26,KYN,ASO,00:09,01:29,power
B-409,C1,2026-09-26,KYN,ASO,09:49,10:55,power
B-410,C1,2026-09-26,KYN,ASO,15:58,17:21,power
B-411,C1,2026-09-26,KYN,ASO,18:20,19:25,power
B-412,C1,2026-09-26,ASO,KSRA,03:45,06:04,traffic
B-413,C1,2026-09-26,ASO,KSRA,07:53,09:37,traffic
B-414,C1,2026-09-26,ASO,KSRA,16:45,18:03,traffic
B-415,C1,2026-09-26,KYN,ASO,09:35,11:05,traffic
B-416,C2,2026-09-27,KYN,KJT,00:08,04:08,traffic
B-417,C2,2026-09-27,KJT,LNL,00:12,04:12,power
B-418,C2,2026-09-27,CSMT,TNA,09:35,11:05,traffic
B-419,C1,2026-09-27,KYN,ASO,00:06,01:29,traffic
B-420,C1,2026-09-27,KYN,ASO,02:35,05:22,traffic
B-421,C1,2026-09-27,KYN,ASO,16:00,17:21,traffic
B-422,C1,2026-09-27,KYN,ASO,18:20,19:25,traffic
B-423,C1,2026-09-27,ASO,KSRA,00:05,02:24,power
B-424,C1,2026-09-27,ASO,KSRA,03:43,06:04,power
B-425,C1,2026-09-27,ASO,KSRA,16:48,18:03,power
B-426,C1,2026-09-27,KYN,ASO,09:35,11:05,traffic
B-427,C2,2026-09-28,TNA,KYN,00:08,04:08,traffic
B-428,C2,2026-09-28,KYN,KJT,00:11,04:11,power
B-429,C2,2026-09-28,KJT,LNL,00:07,04:07,traffic
B-430,C2,2026-09-28,CSMT,TNA,09:35,11:05,traffic
B-431,C1,2026-09-28,KYN,ASO,00:09,01:29,power
B-432,C1,2026-09-28,KYN,ASO,02:36,05:22,power
B-433,C1,2026-09-28,KYN,ASO,09:54,10:55,power
B-434,C1,2026-09-28,KYN,ASO,16:03,17:21,power
B-435,C1,2026-09-28,KYN,ASO,18:21,19:25,power
B-436,C1,2026-09-28,ASO,KSRA,00:12,02:24,traffic
B-437,C1,2026-09-28,ASO,KSRA,07:48,09:37,traffic
B-438,C1,2026-09-28,ASO,KSRA,16:50,18:03,traffic
B-439,C1,2026-09-28,KYN,ASO,09:35,11:05,traffic
